vin,model,primary_failed_part_capital,primary_failed_part,part_family,mileage_bucket,age_bucket,date,manufacturing_date,dtc_code,claims_count,repairs_count,recalls_count,predicted_claim_prob,supplier_name,supplier_id,supplier_quality_score,defect_rate,failure_description,current_lat,current_lon,city,dealer_name,dealer_lat,dealer_lon,dealer_distance_km,customer_email,customer_mobile
1N4AAPF1800000,Sentra,12V Battery,12V Battery,Battery,10-30k,<1yr,2025-04-13,2024-09-13,,0,0,0,0.0298,AESC (Automotive Energy Supply),97330D39,88,0.12,No failure detected,39.780281,-104.93012,"Denver, CO",Denver Mountain Nissan,39.7492,-104.9803,6.55,bijus.digital.world@gmail.com,+91 9380636750
1N4AZMF1700001,Leaf,Torque Converter,Torque Converter,Transmission,30-60k,3-5yr,2025-04-03,2021-01-03,,0,0,0,0.0637,JATCO North America,BD01AAB5,88,0.12,No failure detected,45.591596,-122.683625,"Portland, OR",Portland Nissan Center,45.5252,-122.6684,7.56,bijus.digital.world@gmail.com,+91 9380636750
1N4BGNK1200002,Ariya,Brake Rotor,Brake Rotor,Brakes,0-10k,<1yr,2025-06-23,2025-03-23,,0,0,0,0.01,Continental Automotive Systems,14B23416,78,0.22,No failure detected,29.76004,-95.420611,"Houston, TX",Houston Central Nissan,29.7704,-95.3598,6.85,bijus.digital.world@gmail.com,+91 9380636750
1N4AAMF1200003,Sentra,Brake Pad,Brake Pad,Brakes,0-10k,<1yr,2025-02-10,2024-08-10,,0,0,0,0.1913,Continental Automotive Systems,14B23416,78,0.22,No failure detected,45.5552,-122.687409,"Portland, OR",Portland Nissan Center,45.5252,-122.6684,3.94,bijus.digital.world@gmail.com,+91 9380636750
1N4AZMA1600004,Leaf,HV Battery,HV Battery,Battery,60k+,1-3yr,2025-03-23,2022-11-23,,0,0,0,0.7252,Envision AESC,BA98DA71,75,0.25,No failure detected,47.552506,-122.356965,"Seattle, WA",Seattle Pacific Nissan,47.6162,-122.3221,8.06,bijus.digital.world@gmail.com,+91 9380636750
1N4AZNJ1400005,Leaf,Torque Converter,Torque Converter,Transmission,30-60k,5+yr,2025-05-20,2020-02-20,,0,0,0,0.1149,JATCO North America,BD01AAB5,88,0.12,No failure detected,25.809988,-80.180629,"Miami, FL",Miami Beach Nissan,25.7717,-80.1818,4.25,bijus.digital.world@gmail.com,+91 9380636750
1N4BGRK1100006,Ariya,Clutch,Clutch,Transmission,60k+,5+yr,2025-01-12,2020-01-12,,0,0,0,0.1173,JATCO North America,BD01AAB5,88,0.12,No failure detected,37.831657,-122.408229,"San Francisco, CA",Bay Area Nissan Service Center,37.7849,-122.4094,5.19,bijus.digital.world@gmail.com,+91 9380636750
1N4BGNJ1600007,Ariya,Front Tire,Front Tire,Tires,30-60k,5+yr,2025-05-11,2020-05-11,,0,0,0,0.3496,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,37.790035,-122.502103,"San Francisco, CA",Bay Area Nissan Service Center,37.7849,-122.4094,10.31,bijus.digital.world@gmail.com,+91 9380636750
1N4BGRA1500008,Ariya,Front Tire,Front Tire,Tires,10-30k,<1yr,2025-05-24,2025-04-24,C1710,0,1,0,0.0934,Goodyear Tire & Rubber,819C1E2D,85,0.15,Tread separation due to manufacturing defect,41.827109,-87.628539,"Chicago, IL",Chicago Downtown Nissan,41.8881,-87.6198,6.84,bijus.digital.world@gmail.com,+91 9380636750
1N4AZNB1200009,Leaf,Clutch,Clutch,Transmission,0-10k,<1yr,2025-01-24,2024-08-24,,0,0,0,0.01,Aisin AW North America,4FC24710,80,0.2,No failure detected,29.827607,-95.446196,"Houston, TX",Houston Central Nissan,29.7704,-95.3598,11.5,bijus.digital.world@gmail.com,+91 9380636750
