vin,model,primary_failed_part_capital,primary_failed_part,part_family,mileage_bucket,age_bucket,date,manufacturing_date,model_year,telematics_timestamp,dtc_code,dtc_subsystem,dtc_severity,dtc_recommendation,dtc_explanation,dtc_timestamp,claims_count,repairs_count,recalls_count,predicted_claim_prob,supplier_name,supplier_id,supplier_quality_score,defect_rate,failure_description,current_lat,current_lon,city,dealer_name,dealer_lat,dealer_lon,dealer_distance_km,customer_email,customer_mobile,battery_soc,battery_voltage,battery_temperature,battery_health_status,battery_charge_cycles,battery_degradation_pct,engine_rpm,coolant_temperature,water_pump_speed,oil_pressure,engine_load,engine_health_status,brake_pressure,brake_pad_wear_pct,brake_fluid_level,brake_torque,brake_health_status,ambient_temperature,vehicle_speed,anomaly_type,anomaly_timestamp,anomaly_severity,anomaly_description,anomaly_icon
1N4AAPF1200000,Sentra,12V Battery,12V Battery,Battery,10-30k,<1yr,2025-04-13,2024-09-13,2024,2025-04-13 10:07:20,,,,,,,0,0,0,0.0298,AESC (Automotive Energy Supply),97330D39,88,0.12,No failure detected,43.58329,-79.398876,"Toronto, ON",Toronto Nissan Centre,43.6632,-79.3732,9.32,bijus.digital.world@gmail.com,+91 9380636750,82.9,12.8,25.2,Normal,566,2.3,752,189.5,1271,42.6,22.0,Normal,31.0,24.6,Normal,112.0,Normal,79.5,5,,,,,
1N4AZMF1800001,Leaf,Front Tire,Front Tire,Tires,10-30k,3-5yr,2025-04-03,2021-01-03,2021,2025-04-03 21:58:16,,,,,,,0,0,0,0.1803,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,47.569443,-122.243812,"Seattle, WA",Seattle Pacific Nissan,47.6162,-122.3221,10.12,bijus.digital.world@gmail.com,+91 9380636750,78.9,350.5,20.0,Normal,477,6.7,785,190.6,1271,45.6,22.9,Normal,28.0,28.5,Normal,117.8,Normal,75.1,0,,,,,
1N4BGNK1600002,Ariya,Torque Converter,Torque Converter,Transmission,30-60k,5+yr,2025-06-23,2020-01-23,2020,2025-06-23 03:47:42,,,,,,,0,0,0,0.0941,ZF Friedrichshafen NA,67A49191,72,0.28,No failure detected,47.660434,-122.362731,"Seattle, WA",Seattle Pacific Nissan,47.6162,-122.3221,6.67,bijus.digital.world@gmail.com,+91 9380636750,59.0,332.6,18.8,Normal,106,13.0,895,192.0,1286,41.4,22.4,Normal,28.0,17.1,Normal,116.3,Normal,88.5,0,,,,,
1N4AAMF1100003,Sentra,12V Battery,12V Battery,Battery,0-10k,<1yr,2025-02-10,2024-08-10,2024,2025-02-10 00:31:21,,,,,,,0,0,0,0.0272,Envision AESC,BA98DA71,75,0.25,No failure detected,37.843549,-122.452373,"San Francisco, CA",Bay Area Nissan Service Center,37.7849,-122.4094,8.07,bijus.digital.world@gmail.com,+91 9380636750,86.7,12.3,28.3,Normal,1485,4.3,857,210.0,1298,45.6,24.0,Normal,28.0,11.0,Normal,110.5,Normal,61.4,15,,,,,
1N4AZMA1800004,Leaf,Brake Pad,Brake Pad,Brakes,30-60k,1-3yr,2025-03-23,2022-11-23,2022,2025-03-23 08:52:58,C1202,Brakes,MEDIUM,Inspect brake system and ABS module,ABS control module communication error detected.,2025-03-23 08:52:58,1,1,0,0.3806,Continental Automotive Systems,14B23416,78,0.22,Pad material decomposition from excessive heat,47.563317,-122.319848,"Seattle, WA",Seattle Pacific Nissan,47.6162,-122.3221,5.88,bijus.digital.world@gmail.com,+91 9380636750,34.5,306.3,28.7,Critical,117,7.8,1130,201.7,1393,46.9,28.2,Warning,27.4,91.8,Low,97.5,Critical,63.1,0,DTC logged,2025-03-23 08:52:58,WARNING,Diagnostic trouble code C1202 detected,wrench
1N4AZNJ1400005,Leaf,Clutch,Clutch,Transmission,30-60k,3-5yr,2025-05-20,2022-04-20,2022,2025-05-20 16:07:07,,,,,,,0,0,0,0.01,JATCO North America,BD01AAB5,88,0.12,No failure detected,25.803502,-80.151259,"Miami, FL",Miami Beach Nissan,25.7717,-80.1818,4.89,bijus.digital.world@gmail.com,+91 9380636750,72.0,347.7,13.5,Normal,987,8.5,717,205.8,1222,41.9,17.7,Normal,30.4,25.1,Normal,102.8,Normal,45.7,10,,,,,
1N4BGRK1500006,Ariya,HV Battery,HV Battery,Battery,30-60k,3-5yr,2025-01-12,2022-01-12,2022,2025-01-12 17:04:27,P0A80,Battery,CRITICAL,Replace hybrid battery pack,The battery pack is unable to hold sufficient charge and requires replacement.,2025-01-12 17:04:27,1,1,0,0.8601,LG Energy Solution,A1D0557A,92,0.08,Cell degradation due to thermal stress,37.836161,-122.393454,"San Francisco, CA",Bay Area Nissan Service Center,37.7849,-122.4094,5.96,bijus.digital.world@gmail.com,+91 9380636750,27.5,304.5,31.5,Critical,774,10.0,1072,219.9,1074,40.7,27.4,Warning,28.2,57.4,Normal,104.8,Warning,56.6,5,DTC logged,2025-01-12 17:04:27,WARNING,Diagnostic trouble code P0A80 detected,wrench
1N4AZNJ1600007,Leaf,Rear Tire,Rear Tire,Tires,60k+,1-3yr,2025-05-11,2024-02-11,2024,2025-05-11 22:52:50,,,,,,,0,0,0,0.2333,Bridgestone Americas,18C7AD62,90,0.1,No failure detected,45.446011,-122.696418,"Portland, OR",Portland Nissan Center,45.5252,-122.6684,9.32,bijus.digital.world@gmail.com,+91 9380636750,91.7,312.6,22.2,Critical,726,2.3,865,194.2,1493,38.6,12.8,Normal,28.8,15.9,Normal,101.9,Normal,71.9,0,,,,,
1N4BGRA1400008,Ariya,Battery Cable,Battery Cable,Battery,30-60k,1-3yr,2025-05-24,2024-05-24,2024,2025-05-24 01:30:04,,,,,,,0,0,0,0.0597,AESC (Automotive Energy Supply),97330D39,88,0.12,No failure detected,33.820532,-84.392324,"Atlanta, GA",Atlanta South Nissan,33.759,-84.378,7.01,bijus.digital.world@gmail.com,+91 9380636750,58.7,374.8,18.9,Normal,353,11.4,781,193.1,1549,36.1,25.6,Normal,30.9,16.0,Normal,115.6,Normal,65.6,0,,,,,
1N4AZNB1400009,Leaf,Clutch,Clutch,Transmission,30-60k,1-3yr,2025-01-24,2023-04-24,2023,2025-01-24 09:05:16,,,,,,,0,0,0,0.0442,Aisin AW North America,4FC24710,80,0.2,No failure detected,33.975984,-118.178835,"Los Angeles, CA",LA Metro Nissan Center,34.0622,-118.2337,11.34,bijus.digital.world@gmail.com,+91 9380636750,65.9,366.0,27.8,Normal,1308,8.4,880,192.5,1206,42.2,12.0,Normal,29.5,27.2,Normal,102.1,Normal,72.7,0,,,,,
